artist,genre
"Cristi Munteanu, Theo Rose, Lino Golden",
"Dose, Dequine",
Hellhills,"alternative rock, alternative metal, lithuanian, post-hardcore, electronic, alternative, Progressive, Nu Metal, rap rock, pop punk"
TypeLuv,
"Marissa Mur, Gepe",
The Spirituals,
"Iivo, Antti Karsee",
羊羊,
"Jo Black, Refentse",
Stockanotti,"austrian, Austria"
"Space Hammu, Raggio, Delaossa, Easy-S, Saske, Carrion, Sanson, J.Moods, Kas Rules",
"Dizzy Dizzo, 瘦子E.SO",
Kid King,"indie, taiwan"
หลุยส์ ธณวิน,"thai, Soundtrack, raikantopeni"
Rattana,
Mehmet Arda Uçak,
"Essah, Xir, Gavi, Kuzgun, Kira, Gece",
Buni,"rap, Hip-Hop, UK Drill"
Monaleo,"rap, Hip-Hop, Houston, hip hop, trap, Trap Queen, my top songs, female rap, United States, texas"
YungManny,"trap, rap, United States, Hip-Hop"
"Yefium, Tommy Tèo, MCK",
ENSVR,
"Nufrain, Helyos",
בן קיסר,
"Noy Alooshe, Cairo",
"Rafilù, Barracano, Hosawa, Silent Bob, Joe Scacchi",
Piccolo Plug,
KAT-TUN,"j-pop, japanese, Johnnys entertainment, KAT-TUN, JPop, male vocalists, pop, boyband, J-rock, johnnys"
"トウカイテイオー (CV. Machico), メジロマックイーン (CV. 大西沙織)",
FINLANDS,"indie rock, japanese, jrock, 10s, 2010s"
Sast,
"Camilo Séptimo, Francisca Valenzuela",
228k,"french, electronic, france"
Younggu,"thai, thai hip hop, Thai trap"
Puck Van Ruler,dutch pop
Jamily Jordan,
Jan Mabbro Andersen,oslo
Karolina Kucharek,
"Pawbeats, Qry, Hania Sztachańska",
"HAŁASTRA, Kaz Bałagane, SHDØW",
"Loui & John, Loui PL, John James",
Мирби,
Jaime Murrell,"adoracion, Cristiano, Musica Cristiana, christian, cristiana, alabanza, musica, xolo69, cristianas"
"Big Zulu, Mduduzi",
JUNNY,"k-rnb, Korean, Canadian, singer-songwriter, k-hiphop, rnb, Hip-Hop, chill RnB"
Timbuktu & Hederos,
"Sleiman, Ricky Rich, Nani",
雲端司機 CLOUDRIVER,"taiwanese, indie pop, taiwan"
Mi Hermano y Yo,
Bernard Vereecke,
"Khrebto, Aiaya",
Lester,"All, rap, american, USA, us, deutschpunk, postpunk, United States, rap underground, Rap Nacional"
Kenzo Bond,
Nico Benzon,
"Missy & Blonde, Isabella Celander",
Blue States,"downtempo, chillout, trip-hop, electronic, lounge, british, electronica, ambient, dream pop, gilbert"
SK,"trap, emo rap, hip hop, noise, harsh noise, concrete punk, experimental, coldworldgang, rap, Emo Trap"
"El Dusty, Los Dutis, Morenito De Fuego",
Willy H,
Pitty Murua,
"すりぃ, ねね",
原聲童聲合唱團,
Volkan Yazici,
"War Wanarat, Yin Anan",
"İbrahim Başaran, Oğuzhan Koç",
"Ero, Baloblock",
